0.50	0.68	0.31	0.33	0.26	0.41	0.48	0.17	0.28	1.18	
0.17	0.22	0.07	0.30	0.27	0.18	0.52	0.09	0.09	0.21	
0.20	0.18	0.67	0.02	0.07	0.54	0.04	0.49	0.33	0.61	
0.13	0.27	0.36	0.31	0.41	0.24	0.38	0.16	0.40	0.07	
0.15	0.65	0.05	0.19	0.27	0.09	0.30	0.49	0.15	0.71	
0.78	0.14	0.18	0.40	0.28	0.31	0.32	0.05	0.25	0.35	
0.09	0.81	0.12	0.22	0.21	0.52	0.03	0.73	0.27	0.10	
0.18	0.18	0.13	0.34	0.58	0.00	0.68	0.14	0.31	0.20	
0.33	0.43	0.08	0.65	0.01	0.32	0.44	0.16	0.36	0.48	
0.16	0.50	0.60	0.05	1.31	0.40	0.05	0.02	0.73	0.16	

1.18	0.21	0.61	0.07	0.71	0.35	0.10	0.20	0.48	0.16	
0.28	0.09	0.33	0.40	0.15	0.25	0.27	0.31	0.36	0.73	
0.17	0.09	0.49	0.16	0.49	0.05	0.73	0.14	0.16	0.02	
0.48	0.52	0.04	0.38	0.30	0.32	0.03	0.68	0.44	0.05	
0.41	0.18	0.54	0.24	0.09	0.31	0.52	0.00	0.32	0.40	
0.26	0.27	0.07	0.41	0.27	0.28	0.21	0.58	0.01	1.31	
0.33	0.30	0.02	0.31	0.19	0.40	0.22	0.34	0.65	0.05	
0.31	0.07	0.67	0.36	0.05	0.18	0.12	0.13	0.08	0.60	
0.68	0.22	0.18	0.27	0.65	0.14	0.81	0.18	0.43	0.50	
0.50	0.17	0.20	0.13	0.15	0.78	0.09	0.18	0.33	0.16	

0.16	0.73	0.02	0.05	0.40	1.31	0.05	0.60	0.50	0.16	
0.48	0.36	0.16	0.44	0.32	0.01	0.65	0.08	0.43	0.33	
0.20	0.31	0.14	0.68	0.00	0.58	0.34	0.13	0.18	0.18	
0.10	0.27	0.73	0.03	0.52	0.21	0.22	0.12	0.81	0.09	
0.35	0.25	0.05	0.32	0.31	0.28	0.40	0.18	0.14	0.78	
0.71	0.15	0.49	0.30	0.09	0.27	0.19	0.05	0.65	0.15	
0.07	0.40	0.16	0.38	0.24	0.41	0.31	0.36	0.27	0.13	
0.61	0.33	0.49	0.04	0.54	0.07	0.02	0.67	0.18	0.20	
0.21	0.09	0.09	0.52	0.18	0.27	0.30	0.07	0.22	0.17	
1.18	0.28	0.17	0.48	0.41	0.26	0.33	0.31	0.68	0.50	

